| network_model                | AuxGuideDepth                     |
| abs_rel  | 2.11445  |
| sq_rel   | 4.20126  |
| rmse     | 1.67801  |
| rmse_log | 1.04067  |
| log10    | 0.434561 |
| silog    | 0.766423 |

New model saved: weights/2022_06_30-06_13_40_PM/AuxGuideDepth_11.pth 
| d1       | 0.0419074 |
| d2       | 0.165562  |
| d3       | 0.284896  |
| abs_rel  | 1.9878    |
| sq_rel   | 3.75019   |
| rmse     | 1.58005   |
| rmse_log | 1.00101   |
| log10    | 0.417132  |
| silog    | 0.738937  |

New model saved: weights/2022_06_30-06_13_40_PM/AuxGuideDepth_12.pth 
| d1       | 0.0514746 |
| d2       | 0.181663  |
| d3       | 0.314492  |
| abs_rel  | 1.87625   |
| sq_rel   | 3.38081   |
| rmse     | 1.4931    |
| rmse_log | 0.964388  |
| log10    | 0.400988  |
| silog    | 0.713549  |

New model saved: weights/2022_06_30-06_13_40_PM/AuxGuideDepth_13.pth 
| d1       | 0.059627 |
| d2       | 0.194043 |
| d3       | 0.341848 |
| abs_rel  | 1.78963  |
| sq_rel   | 3.09914  |
| rmse     | 1.42914  |
| rmse_log | 0.936175 |
| log10    | 0.388657 |
| silog    | 0.693993 |

New model saved: weights/2022_06_30-06_13_40_PM/AuxGuideDepth_14.pth 
| d1       | 0.0721554 |
| d2       | 0.209118  |
| d3       | 0.378767  |
| abs_rel  | 1.69585   |
| sq_rel   | 2.82385   |
| rmse     | 1.36307   |
| rmse_log | 0.903645  |
| log10    | 0.374284  |
| silog    | 0.671591  |

New model saved: weights/2022_06_30-06_13_40_PM/AuxGuideDepth_15.pth 
| d1       | 0.0871936 |
| d2       | 0.221721  |
| d3       | 0.42202   |
| abs_rel  | 1.62546   |
| sq_rel   | 2.63413   |
| rmse     | 1.31339   |
| rmse_log | 0.878044  |
| log10    | 0.362747  |
| silog    | 0.653917  |

New model saved: weights/2022_06_30-06_13_40_PM/AuxGuideDepth_16.pth 
| d1       | 0.100704 |
| d2       | 0.233902 |
| d3       | 0.457835 |
| abs_rel  | 1.55652  |
| sq_rel   | 2.44178  |
| rmse     | 1.26825  |
| rmse_log | 0.854006 |
| log10    | 0.351952 |
| silog    | 0.637141 |

New model saved: weights/2022_06_30-06_13_40_PM/AuxGuideDepth_17.pth 
| d1       | 0.113945 |
| d2       | 0.252304 |
| d3       | 0.498731 |
| abs_rel  | 1.48623  |
| sq_rel   | 2.26051  |
| rmse     | 1.21874  |
| rmse_log | 0.827753 |
| log10    | 0.340264 |
| silog    | 0.618744 |

New model saved: weights/2022_06_30-06_13_40_PM/AuxGuideDepth_18.pth 
| d1       | 0.12929  |
| d2       | 0.272036 |
| d3       | 0.534868 |
| abs_rel  | 1.41557  |
| sq_rel   | 2.08375  |
| rmse     | 1.17233  |
| rmse_log | 0.80116  |
| log10    | 0.328271 |
| silog    | 0.600354 |

New model saved: weights/2022_06_30-06_13_40_PM/AuxGuideDepth_19.pth 
| d1       | 0.137526 |
| d2       | 0.285344 |
| d3       | 0.557128 |
| abs_rel  | 1.3743   |
| sq_rel   | 1.99864  |
| rmse     | 1.15195  |
| rmse_log | 0.78469  |
| log10    | 0.320804 |
| silog    | 0.589083 |
