| networkmodel                 | DecnetNLSPN                          |
| abs_rel  | 0.0119763  |
| sq_rel   | 0.00271271 |
| rmse     | 0.0685007  |
| rmse_log | 0.0236313  |
| log10    | 0.00514226 |
| silog    | 0.0234728  |

New model saved: weights/2022_09_05-05_11_15_PM/DecnetNLSPN_22.pth 
| d1       | 0.997229   |
| d2       | 0.999369   |
| d3       | 0.999729   |
| abs_rel  | 0.0117049  |
| sq_rel   | 0.00284116 |
| rmse     | 0.0679705  |
| rmse_log | 0.0235203  |
| log10    | 0.00504958 |
| silog    | 0.0234209  |

New model saved: weights/2022_09_05-05_11_15_PM/DecnetNLSPN_28.pth 
| d1       | 0.997443   |
| d2       | 0.99947    |
| d3       | 0.999788   |
| abs_rel  | 0.0109355  |
| sq_rel   | 0.00245338 |
| rmse     | 0.0657551  |
| rmse_log | 0.0224675  |
| log10    | 0.00473259 |
| silog    | 0.0223852  |
