| network_model                | SparseAndRGBGuidedDepth                        |
| rmse_log |  1.23562   |
| log10    |  0.511492  |
| silog    |  0.91917   |

New model saved: weights/2022_06_30-12_09_42_PM/SparseAndRGBGuidedDepth_12.pth 
| d1       |  0.03589  |
| d2       |  0.098307 |
| d3       |  0.1836   |
| abs_rel  |  2.66827  |
| sq_rel   | 20.3027   |
| rmse     |  6.32792  |
| rmse_log |  1.20145  |
| log10    |  0.496374 |
| silog    |  0.895675 |

New model saved: weights/2022_06_30-12_09_42_PM/SparseAndRGBGuidedDepth_13.pth 
| d1       |  0.0444743 |
| d2       |  0.119835  |
| d3       |  0.211312  |
| abs_rel  |  2.48948   |
| sq_rel   | 18.6357    |
| rmse     |  6.05668   |
| rmse_log |  1.15103   |
| log10    |  0.472959  |
| silog    |  0.860885  |

New model saved: weights/2022_06_30-12_09_42_PM/SparseAndRGBGuidedDepth_14.pth 
| d1       |  0.0459031 |
| d2       |  0.12413   |
| d3       |  0.219835  |
| abs_rel  |  2.43947   |
| sq_rel   | 18.525     |
| rmse     |  6.00963   |
| rmse_log |  1.13166   |
| log10    |  0.463444  |
| silog    |  0.846946  |

New model saved: weights/2022_06_30-12_09_42_PM/SparseAndRGBGuidedDepth_15.pth 
| d1       |  0.0579157 |
| d2       |  0.145956  |
| d3       |  0.250991  |
| abs_rel  |  2.23036   |
| sq_rel   | 16.2531    |
| rmse     |  5.69555   |
| rmse_log |  1.07513   |
| log10    |  0.437993  |
| silog    |  0.810944  |

New model saved: weights/2022_06_30-12_09_42_PM/SparseAndRGBGuidedDepth_16.pth 
| d1       |  0.0642183 |
| d2       |  0.156219  |
| d3       |  0.268133  |
| abs_rel  |  2.1161    |
| sq_rel   | 14.216     |
| rmse     |  5.29945   |
| rmse_log |  1.04381   |
| log10    |  0.424995  |
| silog    |  0.789405  |

New model saved: weights/2022_06_30-12_09_42_PM/SparseAndRGBGuidedDepth_17.pth 
| d1       |  0.0632543 |
| d2       |  0.157044  |
| d3       |  0.278258  |
| abs_rel  |  2.05118   |
| sq_rel   | 13.4491    |
| rmse     |  5.12032   |
| rmse_log |  1.02399   |
| log10    |  0.417381  |
| silog    |  0.772492  |

New model saved: weights/2022_06_30-12_09_42_PM/SparseAndRGBGuidedDepth_18.pth 
| d1       |  0.0740082 |
| d2       |  0.17294   |
| d3       |  0.310944  |
| abs_rel  |  1.94035   |
| sq_rel   | 12.5285    |
| rmse     |  4.92483   |
| rmse_log |  0.988744  |
| log10    |  0.40163   |
| silog    |  0.749132  |

New model saved: weights/2022_06_30-12_09_42_PM/SparseAndRGBGuidedDepth_19.pth 
| d1       |  0.0816457 |
| d2       |  0.190282  |
| d3       |  0.342307  |
| abs_rel  |  1.86678   |
| sq_rel   | 11.5665    |
| rmse     |  4.67369   |
| rmse_log |  0.961397  |
| log10    |  0.389377  |
| silog    |  0.728385  |

New model saved: weights/2022_06_30-12_09_42_PM/SparseAndRGBGuidedDepth_22.pth 
| d1       |  0.0910151 |
| d2       |  0.213538  |
| d3       |  0.415842  |
| abs_rel  |  1.73867   |
| sq_rel   | 10.5647    |
| rmse     |  4.45698   |
| rmse_log |  0.92189   |
| log10    |  0.369826  |
| silog    |  0.704031  |
